2021-02-20 08:24:28.8720 INFO Testing
2021-02-20 09:58:49.9985 INFO Entering LoginController.Login()
2021-02-20 09:58:50.1224 INFO Exiting LoginController.Login()
2021-02-20 09:59:03.6933 INFO Entering LoginController.Login()
2021-02-20 09:59:05.0593 INFO Exiting LoginController.Login()
2021-02-20 10:00:23.3575 INFO Entering LoginController.Login()
2021-02-20 10:00:23.4758 INFO Exiting LoginController.Login()
2021-02-20 10:00:32.7517 INFO Entering LoginController.Login()
2021-02-20 10:00:32.8389 INFO Exiting LoginController.Login()
2021-02-20 10:00:35.2308 INFO Entering HomeController.Index()
2021-02-20 10:00:35.2555 INFO Exiting HomeController.Index()
2021-02-20 10:00:37.8203 INFO Entering GameController.Game()
2021-02-20 10:00:39.1512 INFO Exiting GameController.Game()
2021-02-20 10:00:41.9398 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:00:41.9398 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:00:43.3686 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:00:43.3686 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:00:44.8546 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:00:44.8546 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:30.6069 INFO Entering GameController.OnRightMouseClick()
2021-02-20 10:01:30.6113 INFO Exiting GameController.OnRightMouseClick()
2021-02-20 10:01:32.7234 INFO Entering GameController.OnRightMouseClick()
2021-02-20 10:01:32.7234 INFO Exiting GameController.OnRightMouseClick()
2021-02-20 10:01:34.3375 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:01:34.3375 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:35.6346 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:01:35.6346 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:36.6122 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:01:36.6122 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:38.5335 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:01:38.5335 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:42.1359 INFO Entering GameController.ResetGame()
2021-02-20 10:01:42.1404 INFO Exiting GameController.ResetGame()
2021-02-20 10:01:44.2906 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:01:44.2906 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:45.5187 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:01:45.5187 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:47.0210 INFO Entering GameController.OnSave()
2021-02-20 10:01:47.1629 INFO Exiting GameController.OnSave()
2021-02-20 10:01:49.8305 INFO Entering GameController.OnLeftMouseClick()
2021-02-20 10:01:49.8305 INFO Exiting GameController.OnLeftMouseClick()
2021-02-20 10:01:52.4200 INFO Entering GameController.ResetGame()
2021-02-20 10:01:52.4200 INFO Exiting GameController.ResetGame()
2021-02-20 10:01:53.4588 INFO Entering GameController.OnLoad()
2021-02-20 10:01:53.5329 INFO Exiting GameController.OnLoad()
2021-02-20 10:02:24.5255 INFO Entering HomeController.Index()
2021-02-20 10:02:24.5255 INFO Exiting HomeController.Index()
